name,url,category,subcategory,description,addresses,reporter
twitter.com/cz_binance,https://twitter.com/cz_binance,Scamming,Trust-Trading,Trust trading 0.5ETH for 5ETH,{'ETH': ['0x08389B19ad52f0d983609ab785b3a43A0E90355F']},CryptoScamDB
Twitter: EthereumWallets,https://twitter.com/EthereumWallets,Phishing,MyEtherWallet,https://bitcointalk.org/index.php?topic=1689585.20,,CryptoScamDB
twitter.com/VltalkButerin,https://twitter.com/VltalkButerin,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0x7bb386c33486fe345168d0af94bef03897e16022']},CryptoScamDB
twitter.com/Aurora__dao/status/960683836463075328,https://twitter.com/Aurora__dao/status/960683836463075328,Scamming,Trust-Trading,Trust trading scam tweet,{'ETH': ['0xfa2e4bddb3899dFB0d91A70744739d9f76692755']},CryptoScamDB
twitter.com/VitalikButeriin,http://twitter.com/VitalikButeriin,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0x5d82db63cf0c54d47006d416bdc7dab09ea2f3f1']},CryptoScamDB
twitter.com/VitalikBulerin,http://twitter.com/VitalikBulerin,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0xA82C7c0Ef05080463E4ac55DB8b8531007f3A66C']},CryptoScamDB
twitter.com/2017_binance,http://twitter.com/2017_binance,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0xdcd2fb1c1b103c5a591e76798704cfaa27baf6b9']},CryptoScamDB
twitter.com/VitaliikB,http://twitter.com/VitaliikB,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0x5efb7d2ab258b18c8166b0c74fc4117716e52515']},CryptoScamDB
twitter.com/VitallikButerin,http://twitter.com/VitallikButerin,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0x414bca672494b8f078112c52ae258f9e8de1a4a0']},CryptoScamDB
twitter.com/VitalikButeriin,http://twitter.com/VitalikButeriin,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0x3dfE9F7Af8864DF0b7Cc2a20430006fd1af8dA1a']},CryptoScamDB
twitter.com/VitalikButterin,http://twitter.com/VitalikButterin,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0x5B6D3d66E18Dfd31ed9A753C406963C401f356C0']},CryptoScamDB
twitter.com/VitalikButeirn,http://twitter.com/VitalikButeirn,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0xc8c3234Aea55a5F746b2aE585a849ba0BFa57785']},CryptoScamDB
twitter.com/VitailkButerin,http://twitter.com/VitailkButerin,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0x774148e22F021972bfe082e1548E5d9dC6e1D76E']},CryptoScamDB
twitter.com/VitalkButerin,http://twitter.com/VitalkButerin,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0xeeCC46A74ceA6133a12672bD62D5167877B4d521']},CryptoScamDB
twitter.com/officialmacafee,http://twitter.com/officialmacafee,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0xeeCC46A74ceA6133a12672bD62D5167877B4d521']},CryptoScamDB
twitter.com/VltalikButerin,http://twitter.com/VltalikButerin,Scamming,Trust-Trading,Trust trading 0.1ETH for 2ETH,{'ETH': ['0xe5b913f91f2b90c5cd04d711e1eb3214c56dba98']},CryptoScamDB
twitter.com/omise__go,http://twitter.com/omise__go,Fake ICO,OmiseGO,fake twitter,,CryptoScamDB
